소재지전체주소,사업장명
서울특별시 종로구 종로3가 6번지 ,디토
서울특별시 종로구 관철동 19-20번지 ,하이트비어플러스
서울특별시 종로구 명륜2가 39-0번지 ,아이다호
서울특별시 종로구 창신동 217-1번지 ,티엔티
서울특별시 종로구 도렴동 60번지 지하1층 43호 ,미
서울특별시 종로구 숭인동 217-9번지 ,땡기는날
서울특별시 종로구 도렴동 115-4번지 ,잭클래식바(Jack Classic Bar)
서울특별시 종로구 관철동 7-17번지 ,닌자짱
서울특별시 종로구 창신동 583-6번지 ,고요로스칸
서울특별시 종로구 낙원동 194번지 덕우빌딩 ,함지
서울특별시 종로구 혜화동 136번지 ,카라
서울특별시 종로구 동숭동 1-48번지 ,캘리포니아
서울특별시 종로구 동숭동 1-96번지 ,루미대학로점
서울특별시 종로구 교북동 12-15번지 ,엘엔비
서울특별시 종로구 숭인동 202-3번지 지상1층 ,이서방치킨
서울특별시 종로구 종로3가 6번지 ,디토
서울특별시 종로구 부암동 185-5번지 ,골뱅이집바다
서울특별시 종로구 돈의동 152-2번지 ,다락촌
서울특별시 종로구 숭인동 1262번지 ,파로스
서울특별시 종로구 명륜2가 176번지 ,박스힐
서울특별시 종로구 명륜2가 24-4번지 ,메차쿠차
서울특별시 종로구 숭인동 65-22번지 ,오뚜기호프
서울특별시 종로구 적선동 97번지 ,쉬리
서울특별시 종로구 홍지동 46-1번지 지상1층 ,주댕이
서울특별시 종로구 삼청동 37번지 ,삼십칠
서울특별시 종로구 명륜2가 202번지 ,보름달뜨는마을
서울특별시 종로구 신영동 239-1번지 ,크래프트하우스
서울특별시 종로구 숭인동 191번지 ,왕짜장
서울특별시 종로구 창신동 81-8번지 ,딱좋아
서울특별시 종로구 내자동 11-1번지 ,OMC 치킨
서울특별시 종로구 당주동 100번지 지하 105호 ,윤가네
서울특별시 종로구 종로5가 75-1번지 ,하이트클래스
서울특별시 종로구 청진동 1-1번지 ,프렌치키스
서울특별시 종로구 필운동 206-0번지 ,숨바꼭질
서울특별시 종로구 종로6가 205-3번지 ,칼라호프
서울특별시 종로구 명륜4가 8-1번지 ,삼칠포차
서울특별시 종로구 신문로1가 31-0번지 ,분짜라붐 광화문점
서울특별시 종로구 통인동 137-11번지 ,리치리치
서울특별시 종로구 관철동 45-8번지 ,아스카
서울특별시 종로구 돈의동 50번지 지상1층 ,올래호프
서울특별시 종로구 숭인동 313-16번지 ,이야기
서울특별시 종로구 관철동 45-8번지 ,파라디아
서울특별시 종로구 창신동 691-0번지 ,비어캐빈
서울특별시 종로구 창신동 635-8번지 ,삼보전기통닭
서울특별시 종로구 홍지동 127-22번지 ,즈봉
서울특별시 종로구 필운동 108번지 1층 ,광장호프
서울특별시 종로구 필운동 108-4번지 1 ,광장호프
서울특별시 종로구 돈의동 68-102번지 동의빌딩 ,짝태앤노가리
서울특별시 종로구 홍지동 46-1번지 ,삼미치킨 상명대점
서울특별시 종로구 관철동 19-12 1~2층 ,비어웍스(종로 종각역점)
서울특별시 종로구 동숭동 1-55번지 ,화덕피자신사
서울특별시 종로구 명륜4가 70-3번지 ,빽투더포차
"서울특별시 종로구 내수동 72번지 경희궁의아침3단지 167,168호 ",약초치킨종로점
서울특별시 종로구 공평동 18번지 ,사진쟁이1019
서울특별시 종로구 평창동 66-72번지 안성빌딩 103호 ,조선미닭
서울특별시 종로구 동숭동 1-48번지 지하1층 ,소년소녀술싸롱
서울특별시 종로구 명륜2가 186-2번지 ,신촌불닭
서울특별시 종로구 창신동 635-8번지 지상1층 ,삼보치킨
서울특별시 종로구 명륜2가 177번지 ,Best Friend(비에프)
서울특별시 종로구 창신동 582-17번지 지상1층 ,소문난생만두
서울특별시 종로구 동숭동 1-91번지 ,라구라구
서울특별시 종로구 숭인동 66-3번지 지상2층 ,밀리오
서울특별시 종로구 창신동 130-66번지 ,코스닭 치킨
서울특별시 종로구 돈의동 84-2번지 ,올인
서울특별시 종로구 숭인동 192번지 지상1층 ,석쇠한잔
서울특별시 종로구 창신동 265번지 지상3층 ,럭셔리 수
서울특별시 종로구 관철동 14-7번지 지상1층 ,도네누Ⅱ
서울특별시 종로구 종로6가 205-3번지 ,칼라식당
서울특별시 종로구 효제동 165번지 ,동동공주
서울특별시 종로구 종로5가 121-6번지 지하1층 ,종오
서울특별시 종로구 익선동 57번지 ,치킨주막
서울특별시 종로구 무악동 67-2번지 ,포촌치킨독립문점
서울특별시 종로구 관철동 6-5번지 ,마피아
서울특별시 종로구 숭인동 217-19번지 지상2층 ,장작불바베큐
서울특별시 종로구 무악동 46-915번지 ,맛나치킨
서울특별시 종로구 창신동 583-30번지 지상1층 ,피자닭컴
서울특별시 종로구 명륜3가 53번지 ,오픈창꼬
서울특별시 종로구 종로5가 214-6번지 ,뭐야뭐야
"서울특별시 종로구 혜화동 166-3번지 지상1,2층 ",토스피아
서울특별시 종로구 종로1가 24번지 지하1층 B118-3호 ,종로 호프타운
서울특별시 종로구 돈의동 94번지 지상1층 ,모로
서울특별시 종로구 효제동 249-1번지 2층 ,위드 비어
서울특별시 종로구 인의동 46-1번지 1층 ,비에이치씨(bhc)치킨
서울특별시 종로구 당주동 5번지 지하1층 ,광장맥주
서울특별시 종로구 부암동 208-39번지 1층 ,제이디 라이브
서울특별시 종로구 묘동 201번지 (지하1층) ,본스치킨 종로3가점
서울특별시 종로구 창신동 84-3번지 (지상1층) ,닭집
서울특별시 종로구 옥인동 37번지 지상1층 ,용구비어
서울특별시 종로구 연지동 85 ,바로두마리치킨
서울특별시 종로구 종로5가 45-3 1층 ,한국통닭
서울특별시 종로구 관철동 12-5번지 ,봉구비어
서울특별시 종로구 명륜3가 2-37번지 ,성대 통치킨
서울특별시 종로구 창신동 20-40번지 (지상1층) ,비목
서울특별시 종로구 혜화동 74-38번지 ,모심
서울특별시 종로구 창신동 633-6번지 (지하1층) ,발렌타인
서울특별시 종로구 종로5가 98번지 ,오늘통닭
서울특별시 종로구 교남동 27번지 ,다울.민속점
서울특별시 종로구 도렴동 150-1번지 ,광화문 분식
서울특별시 종로구 당주동 160번지 지하1층 6호 ,제이앤조이(J&Joy)
서울특별시 종로구 수송동 58번지 두산위브파빌리온 142호 ,이자카야마타
서울특별시 종로구 동숭동 1-37번지 4층 ,이리스
서울특별시 종로구 창신동 440-6번지 ,테라스(호프)
서울특별시 종로구 숭인동 766번지 청계힐스테이트 단지내상가 나동 101호,치킨매니야
서울특별시 종로구 낙원동 196번지 지하1층 ,종삼호프
서울특별시 종로구 평창동 66-32번지 (지하1층) ,귀빈치킨
서울특별시 종로구 신문로1가 238번지 신문로BD 지상1층 ,와바 광화문점
서울특별시 종로구 효제동 268-2번지 지상1층 ,테마호프
서울특별시 종로구 동숭동 50-42번지 지상2층 ,좋은 친구들
서울특별시 종로구 창신동 330-5번지 2층 ,압구정호프
서울특별시 종로구 창신동 436-73번지 지하1층 ,눈사람
서울특별시 종로구 혜화동 15-44번지 ,거성치킨
서울특별시 종로구 내수동 95 파크팰리스상가 105호 ,주크
서울특별시 종로구 창신동 583-19번지 지상1층 ,두리아
서울특별시 종로구 연건동 45-2 1층 ,연건식당
서울특별시 종로구 명륜4가 16-1번지 3층 ,꾼노리
서울특별시 종로구 누상동 166-161번지 지상2층 ,묘한술책
서울특별시 종로구 연건동 139-2번지 1층 ,구어조은닭
서울특별시 종로구 낙원동 210번지 (지상2층) ,주유소
"서울특별시 종로구 명륜2가 41-9번지 (지상8,9층) ",와라와라 대학로점
서울특별시 종로구 명륜2가 188번지 지하1층 ,Bunker(벙커)
서울특별시 종로구 홍지동 91-3번지 ,SM
서울특별시 종로구 숭인동 72-70번지 지상1층 ,호야치킨
서울특별시 종로구 명륜3가 16번지 (지하1층) ,미쳐버린 파닭
서울특별시 종로구 관철동 180번지 스타골드빌딩 ,벚꽃 야시장
서울특별시 종로구 종로2가 8-4번지 1층 ,만선
서울특별시 종로구 관철동 7-11번지 지상 3층 ,맘모스 고기부페
서울특별시 종로구 통인동 147-2번지 (지상1층) ,서촌강정&치킨
서울특별시 종로구 관철동 11-24번지 ,자이안트
서울특별시 종로구 돈의동 10번지 지상1층 ,종로 맛소리
서울특별시 종로구 종로5가 182-2번지 2층 ,궁
